,제목,가사,가수,발매일,좋아요수,장르
1537,서교동을 걸어갑니다,"오늘도 하염없이 걸어가는 사람아
무슨 사연 있길래 어디로 가시나요
비가 오고 바람 불면
백합같은 사랑도 울고
이 밤이 다 새도록
발 길이 닿는 곳마다
아쉬워하며 돌아설 때에
눈이 부시게 빛이 나던
그대를 우연히 만나
나의 모든 순간들이 너무 행복했어요
그대 하나로 가득한 수많은 추억들
나의 모든 순간들이 너무 아름다운
그대 하나로 즐거웠어요
이 밤이 다 새도록
발 길이 닿은 곳마다
서교동을 걸어갑니다
아쉬워하며 돌아설 때에
눈이 부시게 빛이 나던
그대를 우연히 만나
나의 모든 순간들이 너무 행복했어요
그대 하나로 가득한 수많은 추억들
나의 모든 순간들이 너무 아름다운
그대 하나로 즐거웠어요
나의 모든 순간들이 너무 행복했어요
그대 하나로 가득한 수많은 추억들
나의 모든 순간들이 너무 아름다운
그대 하나로 즐거웠어요
이 밤이 다 새도록
발 길이 닿은 곳마다
서교동을 걸어갑니다
서교동을 걸어갑니다",조명섭,2022.01.28,462,성인가요/트로트
1538,그대,"보고파도 볼 수 없는 그 사람
내 마음에 고이 간직된 그 사람
아픈 가슴에 안긴 따스한 그 손길로
다독여주신 그 사랑 고마웠어요
바라봐도 알 수 없는 저 하늘
반짝이는 많은 별들은 내 맘처럼
아픈 마음 달래며 살아서 빛나겠고
흘러가는 물결처럼 흩어졌지요
그대 라는 두 글자가 너무 아파서
한통의 편지라도 보내기 어려워서
망설이며 떨리는 손가락을 바라보는
내 두 눈엔 정말 그리움 넘쳐흘러요
보고파도 볼 수 없는 그 사람
내 마음에 고이 간직된 그 사람
아픈 가슴에 안긴 따스한 그 손길로
다독여주신 그 사랑 고마웠어요
바라봐도 알 수 없는 저 하늘
반짝이는 많은 별들은 내 맘처럼
아픈 마음 달래며 살아서 빛나겠고
흘러가는 물결처럼 흩어졌지요
그대 라는 두 글자가 너무 아파서
한통의 편지라도 보내기 어려워서
망설이며 떨리는 손가락을 바라보는
내 두 눈엔 정말 그리움 넘쳐흘러요
그대 라는 두 글자가 너무 아파서
한통의 편지라도 보내기 어려워서
망설이며 떨리는 손가락을 바라보는
내 두 눈엔 정말 그리움 넘쳐흘러요
내 두 눈엔 정말 그리움 넘쳐흘러요",조명섭,2022.01.28,452,성인가요/트로트
1539,세월강,"세상을 다 가져 갈 끼가
천만년을 살 끼가
그냥저냥 살다가 가면 되지
오라 하면 가면 되지
어차피 인생은 세월강에
흘러가는 꽃잎이 아니냐
한 계절 자랑하다가
때가 되면 지고 마는 꽃
징 징 울지말자 허허 웃어보자
사철 벗은 바람처럼 살자
어차피 인생은 세월강에
흘러가는 꽃잎이 아니냐
한 계절 자랑하다가
때가 되면 지고 마는 꽃
징 징 울지말자 허허 웃어보자
사철 벗은 바람처럼 살자",성민지,2020.12.25,344,성인가요/트로트
1540,사랑사랑,"사랑 사랑 사랑 사랑 내 사랑이로구나
얼씨구나 절씨구나
일편단심 사랑일세
이리 봐도 저리 봐도
어찌 이리 고울까요
하늘에서 주신 천사
하루하루 꿈 같구나
허락 없이 아프지 마요
혹시라도 먼저 가지 마
백발이 성성 늙어가도
당신 손 놓지 않으리
사랑 사랑 사랑 사랑 내 사랑이로구나
얼씨구나 절씨구나
일편단심 사랑일세
이리 봐도 저리 봐도
어찌 이리 고울까요
하늘에서 주신 천사
하루하루 꿈 같구나
허락 없이 아프지 마요
혹시라도 먼저 가지 마
백발이 성성 늙어가도
당신 손 놓지 않으리
사랑 사랑 사랑 사랑 내 사랑이로구나
얼씨구나 절씨구나
일편단심 사랑일세
사랑 사랑 사랑 사랑 내 사랑이로구나
얼씨구나 절씨구나
일편단심 사랑일세
일편단심 사랑일세",정일송,2021.07.29,38,성인가요/트로트
1541,정거장,"떠나가면 눈물을 짓고
돌아오면 미소를 짓는
바람처럼 스쳐 가는
수많은 얼굴
안녕이라는 인사를 하며
다시 올 날 재회를 두고
연기처럼 사라지는
먼 기적소리
정거장 이곳은
너와 나의 인생이 있는 곳
여자 여자 여자인
내가 기다려야지

떠나가는 사람들마다
돌아오는 사람들마다
오고가는 사람마다
수많은 사연
사랑한다는 그 말을 두고
다시 온다는 약속을 두고
바람결에 흩어지는
먼 기적소리
정거장 이곳은
너와 나의 인생이 있는 곳
여자 여자 여자인 내가
기다려야지",김수희,1987.05,396,성인가요/트로트
1542,애인,"사랑해선 안 되나요 정이들면 안 되나요
주고 싶은 사랑도 받고 싶은 그 정도
우리들은 안 되나요
이미 엎질러진 물인걸 이미 깨진 유리잔인걸
이제와서 어떻해요 이미사랑해 버린 걸
알아요 알아요 나도 알아요
맺지 못한다는 걸 조금만 시간을 줘요
내가 돌아설 수 있게
이미 엎질러진 물인걸 이미 깨진 유리잔인걸
이제와서 어떻해요 이미 사랑해 버린 걸
알아요 알아요 나도 알아요
맺지 못한다는 걸 조금만 시간을 줘요
내가 돌아설 수 있게
조금만 시간을 줘요 내가 돌아설 수 있게",태진아,2011.02.18,491,성인가요/트로트
1543,어머니,"더 늦기 전에 효도하란
말이 있어요
알았었는데 알고 있었는데
이제와 어찌합니까
아버지 가시고 나서 어머니 혼자
화장 한번 못하셨지요
집 없는 설움에 이삿짐 싸며
흘리는 눈물을 봤는데
그런데 오늘 그런데 오늘
불쌍한 우리 어머니
늦었을까요 아니겠지요
어머니 울지마세요
어머니 사랑합니다
멍들은 지난날을 잊을 수 있나
모질게 견뎌온 세월
외로운 서러움 가슴에 묻고
흘리는 눈물을 봤는데
그런데 오늘 그런데 오늘
불쌍한 우리 어머니
늦었을까요 아니겠지요
어머니 울지마세요
어머니 사랑합니다",진시몬,2014.03.24,722,성인가요/트로트
1544,희나리,"사랑함에 세심했던 나의 마음은
그렇게도 그대에겐 구속이었소
믿지못해 그런 것이 아니었는데
어쩌다가 헤어지는 이유가 됐소
내게 무슨 마음의 병 있는 것처럼
느낄 만큼 알 수 없는 사람이 되어
그대 외려 나를 점점 믿지 못하고
왠지 나를 그런 쪽에 가깝게 했소
나의 잘못이라면 그대를 위한
내 마음의 전부를 준 것뿐인데
죄인처럼 그대 곁에 가지 못하고
남이 아닌 남이 되어 버린 지금에
기다릴 수밖에 없는 나의 마음은
퇴색하기 싫어하는 희나리 같소
내게 무슨 마음의 병 있는 것처럼
느낄 만큼 알 수 없는 사람이 되어
그대 외려 나를 점점 믿지 못하고
왠지 나를 그런 쪽에 가깝게 했소
나의 잘못이라면 그대를 위한
내 마음의 전부를 준 것뿐인데
죄인처럼 그대 곁에 가지 못하고
남이 아닌 남이 되어 버린 지금에
기다릴 수밖에 없는 나의 마음은
퇴색하기 싫어하는 희나리 같소
퇴색하기 싫어하는 희나리 같소",김호중,2020.04.24,"15,429",성인가요/트로트
1545,나는 울었네,"나는 몰랐네 나는 몰랐네
저 달이 나를 속 일 줄
나는 울었네 나는 울었네
나루터 언 덕에서
손목울 잡고 다시 오마던
그 님은 소식 없고 나만 홀로
이슬에 젖어 달빛에 젖어
밤새도록 나는 울 었 소
나는 속았네 나는 속았네
무정한 봄 바람에
달도 기울고 별도 흐르고
강물도 흘러 갔소
가슴에 안껴 흐느껴 우 든
그대는 어델가고 나만 홀로
이 밤을 세워 울어 보련다
쓸 쓸 한 밤 야속한 님 아",임영웅,2020.08.21,"14,734",성인가요/트로트
1546,나이가 든다는 게 화가 나,"나이가 든다는 게 화가 나
지나간 시간들이 아쉬워
하늘에 떠다니는 구름과
세상에 떠다니는 나
늙어 간다는 게
창피한 일도 아닌데
저 멀리 지는 석양과
닮아서 맘이 서글퍼
길을 잃어도 좋아
두렵지도 않을 나이야
이별 두 번 한대도
웃어넘길 그럴 나이야
나이가 든다는 게 화가 나
떠나간 내 사랑이 그리워
고독을 달래 주던 친구도
하나 둘 떠나 가누나
늙어 간다는 게
창피한 일도 아닌데
저 멀리 지는 석양과
닮아서 맘이 서글퍼
길을 잃어도 좋아
두렵지도 않을 나이야
이별 두 번 한대도
웃어넘길 그럴 나이야
외로움에 지쳐도
웃어버릴 그럴 나이야
웃어버릴 그럴 나이야",별사랑,2021.03.26,396,성인가요/트로트
1547,당신은 몰라,"여기에 당신의 모습이 보인다
가슴에 기대어 수줍던 그모습이
세월은 흘러서 당신은 떠나고
남겨진 마음에 눈물이 흐르는데
아 당신은 이마음 몰라
어두운 밤지새는 이마음
세월이 흐르면 당신을 잊을까
눈물이 마르면 당신이 잊혀질까

아 당신은 이마음 몰라
어두운밤 지새는 이마음
세월이 흐르면 당신을 잊을까
눈물이 마르면 당신이 잊혀질까",최헌,2003.10.16,381,성인가요/트로트
1548,토요일은 밤이 좋아,"이 밤은 영원한 것
그리움이 흐르네
그대 나를 두고 떠나가지 말어
토요일은 밤이 좋아
그대 바라보며 사랑할 수 있는
토요일은 밤이 좋아
이 밤은 영원한 것
그리움이 흐르네
어둠이 오면 외로워하며
우리들은 헤매지만
불빛이 흘러 가슴 적시는
이 도시는 아름다워
아쉬움을 두고 떠나가지 말어
토요일은 밤이 좋아
모든 연인들이 사랑할 수 있는
토요일은 밤이 좋아
이 밤은 영원한 것
그리움이 흐르네
이 밤은 영원한 것
그리움이 흐르네
어둠이 오면 외로워하며
우리들은 헤매지만
불빛이 흘러 가슴 적시는
이 도시는 아름다워
그대 나를 두고 떠나가지 말어
토요일은 밤이 좋아
그대 바라보며 사랑할 수 있는
토요일은 밤이 좋아
아쉬움을 두고 떠나가지 말어
토요일은 밤이 좋아
모든 연인들이 사랑할 수 있는
토요일은 밤이 좋아
토요일은 밤이 좋아
토요일은 밤이 좋아
토요일은 밤이 좋아",N.T.G,2020.01.24,"1,744",성인가요/트로트
1549,화개장터 (guitar by 함춘호),"전라도와 경상도를 가로지르는
섬진강 줄기따라 화개장터엔
아랫마을 하동사람 윗마을 구례사람
닷새마다 어우러져 장을 펼치네
구경한번 와보세요
보기엔 그냥 시골장터지만
있어야 할 건 다 있구요
없을 건 없답니다 화개장터
광양에선 삐걱삐걱 나룻배 타고
산청에선 부릉부릉 버스를 타고
사투리 잡담에다 입씨름 흥정이
오손도손 왁자지껄 장을펼치네
구경 한번 와보세요
오시면 모두모두 이웃사촌
고운 정 미운 정 주고 받는
경상도 전라도의 화개장터
전라도와 경상도를 가로지르는
섬진강 줄기따라 화개장터엔
아랫마을 하동사람 윗마을 구례사람
닷새마다 어우러져 장을 펼치네
구경 한번 와보세요
보기엔 그냥 시골 장터지만
있어야 할 건 다 있구요
없을 건 없답니다 화개장터
구경 한번 와보세요
오시면 모두 모두 이웃사촌
고운 정 미운 정 주고 받는
경상도 전라도의 화개장터
화 개 장 터",조영남,2020.09.16,"11,265",성인가요/트로트
1550,댄싱퀸,"새침한 아가씨
지적인 아가씨
말숙한 아가씨
사랑할 준비하고
모두 다 오세요
무지개빛 찬란한
희망을 꿈꾸며
나의 정열에 음악에 맞춰
춤을 춰요
춤을 춥시다
밤이 새도록
그대의 날이랍니다
댄스 댄스 댄스 춤을 춥시다
댄스 댄스 댄스 리듬에 맞춰
댄스 댄스 댄스 내게 오세요
그대 오늘의 섹시한 여자
오 댄싱퀸
어려워 마세요
창피해 마세요
두려워 마세요
사랑할 준비하고
모두 다 오세요
골치아픈 하루일
모두다 잊고서
나의 정열에 음악에 맞춰
춤을 춰요
춤을 춥시다
밤이 새도록
그대의 날이랍니다
댄스 댄스 댄스 춤을 춥시다
댄스 댄스 댄스 리듬에 맞춰
댄스 댄스 댄스 내게 오세요
그대 오늘의 섹시한 여자
오 댄싱퀸
댄스 댄스 댄스
댄스 댄스 댄스
댄스 댄스 댄스 내게 오세요
그대 오늘의 섹시한 여자
오 댄싱퀸
그대 오늘의 섹시한 여자
그대 오늘의 섹시한 여자
오 댄싱퀸",임영웅,2021.01.05,"18,601",성인가요/트로트
1551,삼백초,"바보야
가버린 너는 바보야
엽서도 한장 남기지 않고
떠나가버린 너
너는 너는 너는
바보야
삼백초 꽃잎 같은
내 마음에
눈물이 맺히고 있네
아늑한 가슴
나직한 음성
은근한 그 애정
다시
돌아올 수 없겠니
미운 바보야
예쁜 바보야
내 마음도 몰라주는
바보 바보야

바보야
가버린 너는 바보야
한마디 말도 원망도 없이
떠나가버린 너
너는 너는 너는
바보야
삼백초 이슬 같은
눈 망울에
그리움 번지고 있네
바람은 불고
갈잎은 울고
계절은 슬픈데
너의 발길 간 곳 어디니
미운 바보야
예쁜 바보야 내 마음도
몰라주는 바보 바보야",김상배,1992.07.15,123,성인가요/트로트
1552,2대8,"꽃무늬 거울 앞에 서서
뽀마드 기름 손에 붓고
오른손 듬뿍
왼손에 살짝
이대팔 머리 넘기고
땡땡이 무늬 넥타이에
굵직한 체인 금팔찌에
배바지 입고 빽구두 신고
세련된 걸음걸이
얄라리 얄라리 얄라리 얄라셩
누가 뭐라 해도 난 이대팔
나 오늘 집에 못간다
오늘도 원샷 내일도 원샷
남자의 인생을 마신다
누가 뭐라 해도 난 이대팔
나 오늘 바람 필거야
오늘은 정자
내일은 경자
사나이 인생이란다
칼처럼 날카로운 시력
빛처럼 번뜩이는 청력
여인의 향기 다 찾아내는
이대팔 대단한 후력
금니빨 살짝 보여주고
살인적 미소 날려주면
핫팬츠 입고 하이힐 신고
백미터 전력질주
얄라리 얄라리 얄라리 얄라셩
누가 뭐라 해도 난 이대팔
나 오늘 집에 못간다
오늘도 원샷 내일도 원샷
남자의 인생을 마신다
누가 뭐라 해도 난 이대팔
나 오늘 바람 필거야
오늘은 정자
내일은 경자
사나이 인생이란다
매일 밤 술에 취해 살아도
오빠만 있어주면 괜찮아
일 이년 바람핀거 아닌데
그냥 꾹 참지 뭐 또
누가 뭐라 해도 난 이대팔
나 오늘 집에 못간다
오늘도 원샷 내일도 원샷
남자의 인생을 마신다
누가 뭐라 해도 난 이대팔
나 오늘 바람 필거야
오늘은 정자
내일은 경자
사나이 인생이란다
오늘은 메리
내일은 제니
사나이 라이프란다",이범학,2012.03.16,"1,026",성인가요/트로트
1553,꽃바람,"아 바람 불면
꽃바람이 살랑살랑
꿈에서도 그리던
님이 찾아 오려나
두근두근 설레는 가슴
나만을 사랑해 영원히 사랑해
그 한마디 남기고 떠난 사람
버들피리 불던 내 고향
시냇가에 무지개 뜨면
징검다리 건너서
님이 돌아온다고
두근두근 설레는 가슴
아 꽃비 내리면
봄바람이 산들 산들
꿈에서도 그리던
님이 찾아 오려나
두근두근 설레는 가슴
나만을 사랑해 영원히 사랑해
그 한마디 남기고 떠난 사람
하모니카 불던 내 고향
뒷동산에 보름달이 뜨면
산모퉁이 돌아서
님이 돌아온다고
두근두근 설레는 가슴
산모퉁이 돌아서
님이 돌아온다고
두근두근 설레는 가슴",배아현,2020.12.17,296,성인가요/트로트
1554,님의 등불,"동쪽에서 부는 바람
이내 옷깃 스칠라
서쪽에서 부는 바람
이내 살갗 스칠라
하나밖에 없는 내님이여
누가 볼까 두렵소
장뚝 뒤에 숨길까
이내 등뒤에 숨길까
세찬 비바람 불어도
세찬 비바람 불어도
거센 눈보라가 닥쳐도
거센 눈보라가 닥쳐도
나는 영원한
당신의 등불이 되리라
세월따라 변하는게
이내 얼굴 이더냐
강물처럼 흘러가는
가는 세월 야속하오
내 영혼을 심어 사랑한님
누가 볼까 두렵소
장뚝 뒤에 숨길까
이내 등뒤에 숨길까
세찬 비바람 불어도
세찬 비바람 불어도
거센 눈보라가 닥쳐도
거센 눈보라가 닥쳐도
나는 영원한
당신의 등불이 되리라
장뚝 뒤에 숨길까
이내 등뒤에 숨길까
세찬 비바람 불어도
세찬 비바람 불어도
거센 눈보라가 닥쳐도
거센 눈보라가 닥쳐도
나는 영원한
당신의 등불이 되리라",김호중,2020.05.08,"14,862",성인가요/트로트
1555,고장난 벽시계,"세월아 너는 어찌
돌아도 보지 않느냐
나를 속인 사랑보다
니가 더욱 야속하더라
한 두번 사랑 땜에 울고 났더니
저만큼 가버린 세월
고장난 벽시계는 멈추었는데
저 세월은 고장도 없네
청춘아 너는 어찌
모른 척 하고 있느냐
나를 버린 사람보다
니가 더욱 무정하더라
뜬구름 쫒아가다 돌아 봤더니
어느새 흘러간 청춘
고장난 벽시계는 멈추었는데
저 세월은 고장도 없네
고장난 벽시계는 멈추었는데
저 세월은 고장도 없네",홍지윤,2021.04.21,"1,572",성인가요/트로트
1556,시간을 오르는 계단,"시간을 오르는 계단
내 마음 설레였지
머나먼 과거로 돌아갈거야
시간을 오르는 계단
내 마음 두근거렸지
아주 먼 과거로 돌아갈거야
내 어린 시절로 가면
어머니가 들려주시던
그 자장가가 들려오고
곤히 잠든 나의 모습
그대여 그대는 잘 지내는가
또 밥은 잘 드시고 있는가
또 하는 일은 잘되고 있는가
또 잠은 잘 자고 있는가
내 어린 시절로 가면
요즘 배운 노래라며
종이 하나 손에 들고
조용히 불러줬지
자꾸만 그대가 생각이 나니
한 계단 두 계단 내려오고
시간을 오르는 계단은 내게
그 사랑 다시 안겨줬지
그 사랑 내게 소중했지",조명섭,2022.01.28,462,성인가요/트로트
1557,오늘이 젊은 날,"나이야 가라 나이야 가라
나이가 대수냐
오늘이 가장 젊은 날
내 과거 묻지를 마세요
알아서 무엇 하나요
지난 일은 지난밤에 묻어요
살다 보면 다 그렇지
마음엔 나이가 없는 거란 걸
세월도 비켜가는 걸
잊지는 말아요 오늘 이 순간이
내 인생에 가장 젊은 날
나이야 가라 나이야 가라
나이가 대수냐
오늘이 가장 젊은 날
인생을 돌아보지 마세요
그렇게 흘려보내요
아쉬워도 시간 속에 묻어요
인생이란 다 그렇지
청춘엔 기준이 없는 거란 걸
지금도 한창때란 걸
잊지는 말아요 오늘 이 순간이
내 인생에 가장 젊은 날
나이야 가라 나이야 가라
나이가 대수냐
오늘이 가장 젊은 날
오늘이 가장 젊은 날",한봄,2020.12.17,317,성인가요/트로트
1558,님 찾아 가는길,"나 밖에 몰랐던 그 사람
내 곁을 떠나 버렸네
아쉬운 미련만 남겨둔 채로
내 곁을 떠나 버렸네
어어야 무정한 사람
나를 두고 어디로 갔소
님이여 텅 빈 내 가슴
그 무엇도 채울 길 없어
어어야 어어야
님 찾아 나는 가리라
그렇게 믿었던 그 사람
날 두고 떠나 갈 줄은
이렇게 못 잊을 그리움 두고
내 곁을 떠나 버렸네
어어야 못 잊을 사람
이 마음을 어떡하라고
님이여 허전한 가슴
그 무엇도 달랠 길 없어
어어야 어어야
님 찾아 나는 가리라",양지은,2021.03.23,"1,437",성인가요/트로트
1559,님그림자,"저만치 앞서가는 님 뒤로

그림자 길게 드린 밤

님의 그림자 밟으려하니

서러움이 가슴에 이네

님은 나의 마음 헤아릴까

별만 해듯거린 밤

휘훵한 달빛아래 님 뒤로

긴 그림자 밟을 날 없네



저만치 앞서가는 님 뒤로

그림자 길게 드린 밤

님의 그림자 밟으려하니

서러움이 가슴에 이네

님은 나의 마음 헤아릴까

별만 헤듯 거린 밤

휘훵한 달빛아래 님 뒤로

긴 그림자 밟을 날 없네",노사연,1999.03.09,480,성인가요/트로트
1560,갈매기 사랑,"갈매기야

갈매기야

갈매기야

갈매기야

부산항 갈매기야

내 청춘이 흘러가도

너는 아직 변함이 없구나

수많은 저 배들은

오고 가는데

내 사랑 그 님은

언제쯤 올까

밤이면 부둣가에서

오늘도 기다린단다

갈매기

갈매기

내 갈매기야

내 님은 언제 오겠니



갈매기야

갈매기야

갈매기야

갈매기야

인천항 갈매기야

내 인생이 흘러가도

너는 아직 그대로구나

수많은 무역선은

오고 가는데

내 사랑 그 님은

언제쯤 올까

밤이면 부둣가에서

오늘도 기다린단다

갈매기

갈매기

내 갈매기야

내 님은 언제 오겠니

내 님은 언제 오겠니",설운도,2002.07.26,416,성인가요/트로트
1561,님 떠나가네,"아무말도 하지않고
돌아서서 울고 있네 그대

이제 내게 말을 하네
떠난다는 말을 하네 그대

울먹이는 그대 작은 목소리
애가 타는 나의작은 이마음
떠나면서 무슨눈물 흘리나
이내 슬픔 작은 이마음
나는 너무 그대 너무 사랑했어
그래도 그대자꾸 떠나가네
이내 슬픔 이제 어이 달래나
사랑하는 내님 떠나가네

울먹이는 그대 작은 목소리
애가 타는 나의작은 이마음
떠나면서 무슨눈물 흘리나
이내 슬픔 작은 이마음
나는 너무 그대 너무 사랑했어
그래도 그대자꾸 떠나가네
이내 슬픔 이제 어이 달래나
사랑하는 내님 떠나가네",김범룡,1986.03.25,383,성인가요/트로트
1562,그여자의 마스카라,"알고십년 속아십년 인생은 그런거라고
속절없이 웃고마는 강건너 외로운 여자
세상에 과거없는 사람있냐며 마지막 술잔속에 눈물을감추고
그여자의 마스카라 그여자의 젖은입술 나를 나를 울리려하네

사랑몇번 이별몇번 인생은 그런거라고
흔들리듯 춤을 추는 강건너 쓸쓸한여자
세상에 과거없는 사람있냐며 마지막 술잔속에 눈물을감추고
그여자의 마스카라 그여자의 젖은입술 나를 나를 울리려하네

(후렴)세상에 과거없는 사람있냐며 마지막 술잔속에 눈물을감추고
그여자의 마스카라 그여자의 젖은입술 나를 나를 울리려하네",임현정,2017.05.15,191,성인가요/트로트
1563,고향무정,"구름도 울고넘는 울고넘는 저 산아래
그 옛날 내가 살던 고향이 있었건만
지금은 어느 누가 살고 있는지
지금은 어느 누가 살고 있는지
산골짝엔 물이 마르고
기름진 문전옥답
잡초에 묻혀있네
새들도 집을 찾는
집을 찾는 저 산아래
그 옛날 내가 살던 고향이 있었건만
지금은 어느 누가 살고 있는지
지금은 어느 누가 살고 있는지
바다에는 배만 떠있고
어부들 노래소리
멎은지 오래일세",임영웅,2020.06.10,"14,736",성인가요/트로트
1564,웬수,"울지는 않겠다고 다짐을 했는데
돌아서는 내 두 뺨엔
주르륵 눈물이 흐르네
떠나가는 저 사람에겐
미련 같은 건 없는데
왜 이럴까 왜 우는 걸까
바보처럼 왜 이러는 걸까
딱 한 가지 딱 한 마디
딱 한 글자 정 정이 웬수야
어차피 가는 사람 웃으며 보내고
돌아서는 어깨 위엔
주르륵 비까지 내리네
내가 좋아 사랑한 사람
후회 같은 건 없는데
왜 이럴까 왜 아픈 걸까
바보처럼 왜 이러는 걸까
딱 한 가지 딱 한 마디
딱 한 글자 정 정이 웬수야
딱 한 가지 딱 한 마디
딱 한 글자 정 정이 웬수야",나훈아,2020.08.20,678,성인가요/트로트
1565,아카시아,"자그만 꽃잎이
너무 예뻐서
한 아름 그대에게
드리고 싶었죠
나 먼저 말할 수 없는
여자이기에
그대 부를 꽃이 되었죠
내게 손짓을 하세요
내게 윙크도 하세요
내게 입맞춤 하세요
오로지 그대만의 여자랍니다
아카시아 향기에 취해보세요
아카시아 사랑에 빠져보세요
꿈이라 생각도 하지 마세요
사랑의 눈빛으로
내게 오세요
아카시아 향기에 취해보세요
아카시아 사랑에 빠져보세요
오로지 그대만을 받아들이는
그런 여자가 돼 드릴게요
아카시아 향기에 취해보세요
아카시아 사랑에 빠져보세요
꿈이라 생각도 하지 마세요
사랑의 눈빛으로
내게 오세요
아카시아 향기에 취해보세요
아카시아 사랑에 빠져보세요
오로지 그대만을 받아들이는
그런 여자가 돼 드릴게요
그런 여자가 돼 드릴게요","뽕가네(강혜연,별사랑,성민지,은가은,허찬미)",2021.01.29,645,성인가요/트로트
1566,정거장에서,"외로운 가슴을 안고
울고있는 저 사람이
우산도 없이 홀로 거닐며
비 내리는 정거장에서
머물다가 가버린
무정한 열차마다
누구를 싣고 사랑을 두고
이별을 하고 떠나가느냐
오늘밤은 당신의 꿈을
내일 밤엔 재회의 꿈을
젖은 옷깃에 담긴 이 마음
비 내리는 정거장에서
외로운 가로등 밑에
울고 있는 저 사람이
차거운 바람 홀로 맞으며
비 내리는 정거장에서
머물다 사라진
무정한 기적마다
그리운 그대 그리운 사랑
잊지 못하고 울고 있느냐
오늘밤은 당신의 꿈을
내일 밤엔 재회의 꿈을
젖은 옷깃에 담긴 이 마음
비 내리는 정거장에서
비 내리는 정거장에서",조명섭,2022.01.28,498,성인가요/트로트
1567,연인들의 이야기,"무작정 당신이 좋아요
이대로 옆에 있어 주세요
하고픈 이야기 너무 많은데
흐르는 시간이 아쉬워
멀리서 기적이 우네요
누군가 떠나가고 있어요
영원히 내곁에 있어 주세요
이별은 이별은 싫어요
무작정 당신이 좋아요
이대로 옆에 있어 주세요
이렇게 앉아서 말은 안해도
가슴을 적시는 두사람
창밖엔 바람이 부네요
누군가 사랑하고 있어요
우리도 그런사랑 주고 받아요
이별은 이별은 싫어요
이별은 이별은 싫어요
이별은 이별은 싫어요",임수정,2014.01.27,418,성인가요/트로트
1568,늑대와 함께 춤을,"너를 처음 본 순간 난 숨이
멎어 버렸었지
하늘은 노랗고 머릿속엔 시계
종소리만 울려
하지만 침착해야지
정신차리지 않으면
안되는 순간이야
서두르면 망쳐버릴테니까
하나둘씩 작전을 실행해 볼까
세상엔 둘도 없는
괜찮은 남자로 보여야 할텐데
dance dance dance
all right
나의 손을 잡아봐
넌 이미 내 손을 잡았으니
나를 벗어날 순 없어
사랑 사랑할거야 너만
좋아할거야
나도 이렇게 만나지다니
사랑에 빠져 버렸어
자석에 끌리듯 어느새
니앞에 멈춰 서 버린 나
내게 눈길조차 안주던
그런 니가 손을 내밀다니
오 이것 참 너는 나란 남자
있는지 없는지 모르는 듯이
관심조차 안주고 있었는데
이 순간을 너무 기다려왔어
내게 틈을 보이면
너를 향해 뛰어갈 이순간만을
dance dance dance all right
나의 손을잡아봐
넌 이미 내 손을 잡았으니
나를 벗어날 순 없어
사랑 사랑할거야 너만
좋아할거야
나도 이렇게 만나지다니
사랑에 빠져 버렸어
dance dance dance all right
나의 손을 잡아봐
넌 이미 내 손을 잡았으니
나를 벗어날 순 없어
사랑 사랑할거야 너만
좋아할거야
나도 이렇게 만나지다니
사랑에 빠져 버렸어",임창정,2020.08.19,"17,021",성인가요/트로트
1569,기러기 아빠,"산에는 진~달~래

들엔 개나~리

산새~도 슬~피우~는

노을~진 산골~에

엄마구름~ 애기구름

정답게~ 가는데

아빠는 어디갔~나

어~디서 살고있~나

아아아 아~아아~아

우리는 외로~운 형제

길잃~은 기러기

하늘엔 조~각~달

강엔 찬바~람

재넘~어 기~적소~리

한가로운 밤중~에

마을마다~ 창문마다

등불은~ 밝은데

엄마는 어디갔~나

어~디서 살고있~나

아아아 아~아아~아

우리는 외로~운 형제

길잃~은 기러기",이미자,2009.08.03,694,성인가요/트로트
1570,나만 믿고 따라와,"너는 나만 믿고 따라와
내가 널 지켜 줄 거야
니가 없으면 나도 없는거야
난 난 난 나는 너를 사랑해
넌 넌 넌 너는 내가 필요해
한번쯤 너를 내게 맡겨봐
넌 넌 넌 내가 책임질 거야
너는 나만 믿고 따라와
내가 널 지켜 줄 거야
니가 없으면 나도 없는거야
너는 나만 믿고 따라와
내가 널 지켜 줄 거야
내가 너와 함께 가는 길이 힘들지라도
오직 한곁같은 그 사랑
그 사랑으로 너를 지켜 줄거야
그대와 나 우리 우리함께 한다면
두려울게 뭐야 힘이들게 뭐야
걱정일랑 하지말고 내가 안아줄께
평생지켜줄게 내가책임질게
난 난 난 나는 너를 사랑해
넌 넌 넌 너는 내가 필요해
한번쯤 너를 내게 맡겨봐
넌넌넌 내가 책임질 거야
너는 나만 믿고 따라와
내가 널 지켜 줄 거야
니가 없으면 나도 없는거야
너는 나만 믿고 따라와
내가 널 지켜 줄 거야
내가 너와 함께 가는 길이 힘들지라도
오직 한곁같은 그 사랑
그 사랑으로 너를 지켜 줄거야
너와 함께 갈거야",남진,2016.03.29,243,성인가요/트로트
